| Series   |   Mass |   Trise |   kpush | EOS   |   EOS int |     xi175 |    xi200 |   Outcome |   M_rem |   M_collapse |   M_Fe |   M_CO |   M_He |    M_H |      E_exp | t_exp            | machine   | working_dir                                                                                              | target_dir                                                                                               |
|----------|--------|---------|---------|-------|-----------|-----------|----------|-----------|---------|--------------|--------|--------|--------|--------|------------|------------------|-----------|----------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------|
| s        |   10.8 |     0.4 |  2.603  | DD2   |         0 |  0.030235 | 0.007927 |         0 | 1.36478 |       10.428 |  1.238 |  1.698 |  2.708 |  7.72  |  0.498384  | 0.55563286083346 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s10.8_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s10.8_trise400_k4.3                                           |
| s        |   11   |     0.4 |  2.634  | DD2   |         0 |  0.060217 | 0.010333 |         0 | 1.28748 |       10.612 |  1.228 |  1.745 |  2.776 |  7.837 |  0.574335  | 0.38828037792262 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s11.0_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s11.0_trise400_k4.3                                           |
| s        |   11.2 |     0.4 |  2.676  | DD2   |         0 |  0        | 0        |         0 | 1.21519 |       10.812 |  1.244 |  1.786 |  2.838 |  7.974 |  0.577075  | 0.35216579260337 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s11.2_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s11.2_trise400_k4.3                                           |
| s        |   11.4 |     0.4 |  2.69   | DD2   |         0 |  0.081321 | 0.014791 |         0 | 1.25311 |       11.01  |  1.33  |  1.809 |  2.871 |  8.139 |  0.566946  | 0.37586805236967 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s11.4_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s11.4_trise400_k4.3                                           |
| s        |   11.6 |     0.4 |  2.662  | DD2   |         0 |  0.072617 | 0.012568 |         0 | 1.25983 |       11.126 |  1.218 |  1.768 |  2.821 |  8.305 |  0.619164  | 0.34224273228728 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s11.6_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s11.6_trise400_k4.3                                           |
| s        |   11.8 |     0.4 |  2.62   | DD2   |         0 |  0.041832 | 0.009263 |         0 | 1.27326 |       11.059 |  1.361 |  1.749 |  2.755 |  8.304 |  0.495304  | 0.46361415848243 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s11.8_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s11.8_trise400_k4.3                                           |
| s        |   12   |     0.4 |  3.106  | DD2   |         0 |  0.171221 | 0.05048  |         0 | 1.34078 |       10.924 |  1.274 |  1.97  |  3.01  |  7.914 |  0.62682   | 0.54884060880809 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s12.0_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s12.0_trise400_k4.3                                           |
| s        |   12.2 |     0.4 |  3.453  | DD2   |         0 |  0.198573 | 0.0853   |         0 | 1.38293 |       10.929 |  1.537 |  2.076 |  3.144 |  7.785 |  0.723529  | 0.48292908664062 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s12.2_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s12.2_trise400_k4.3                                           |
| s        |   12.4 |     0.4 |  3.749  | DD2   |         0 |  0.258142 | 0.121023 |         0 | 1.40597 |       11.025 |  1.273 |  2.142 |  3.234 |  7.791 |  0.919478  | 0.40893114321047 | N/A       | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s12.4_trise400_k4.3                                           | /nucastro2/PUSH/paperII_III/runs_s02/hydro/s12.4_trise400_k4.3                                           |
