EOS int,Mass,M_rem,Outcome Mass Cut
0,10.8,1.36478,0
0,11.0,1.28748,0
0,11.2,1.21519,0
0,11.4,1.25311,0
0,11.6,1.25983,0
0,11.8,1.27326,0
0,12.0,1.34078,0
0,12.2,1.38293,0
0,12.4,1.40597,0
0,12.6,1.32417,0
0,12.8,1.30919,0
0,13.0,1.3532,0
0,13.2,1.44688,0
0,13.4,1.46397,0
0,13.6,1.47617,0
0,13.8,1.48022,0
0,14.0,1.49561,0
0,14.2,1.50694,0
0,14.4,1.515,0
0,14.6,1.51581,0
0,14.8,1.52467,0
0,15.0,1.53273,0
0,15.2,1.52145,0
0,15.4,1.52789,0
0,15.6,1.44933,0
0,15.8,1.40679,0
0,16.0,1.39447,0
0,16.2,1.40515,0
0,16.4,1.39693,0
0,16.6,1.39693,0
0,16.8,1.39611,0
0,17.0,1.39858,0
0,17.2,1.40843,0
0,17.4,1.40269,0
0,17.6,1.41991,0
0,17.8,1.50936,0
0,18.0,1.46153,0
0,18.2,1.40843,0
0,18.4,1.59433,0
0,18.6,1.41335,0
0,18.8,1.40269,0
0,19.0,1.58876,0
0,19.2,1.59592,0
0,19.4,1.49561,0
0,19.6,1.43298,0
0,19.8,1.41499,0
0,20.0,1.37056,0
0,20.2,1.40679,0
0,20.4,1.52225,0
0,20.6,1.63793,0
0,20.8,1.61577,0
0,21.0,1.62292,0
0,21.2,1.59274,0
0,21.4,1.47292,0
0,21.6,1.47211,0
0,21.8,1.58796,0
0,22.0,1.42481,0
0,22.2,7.203,1
0,22.4,1.51016,0
0,22.6,1.60704,0
0,22.8,7.277,1
0,23.0,7.577,1
0,23.2,7.277,1
0,23.4,7.569,1
0,23.6,7.662,1
0,23.8,7.595,1
0,24.0,7.783,1
0,24.2,7.852,1
0,24.4,8.032,1
0,24.6,8.06,1
0,24.8,8.207,1
0,25.0,8.364,1
0,25.2,8.352,1
0,25.4,8.244,1
0,25.6,8.323,1
0,25.8,1.60863,0
0,26.0,1.75209,0
0,26.2,1.53594,0
0,26.4,1.52386,0
0,26.6,1.51258,0
0,26.8,1.52145,0
0,27.0,1.5037,0
0,27.2,1.49965,0
0,27.4,1.53995,0
0,27.6,1.52306,0
0,27.8,1.5295,0
0,28.0,1.49561,0
0,28.2,1.48265,0
0,29.0,1.45095,0
0,30.0,1.53273,0
0,31.0,1.42808,0
0,32.0,1.50936,0
0,33.0,1.55679,0
0,34.0,1.60307,0
0,35.0,1.51742,0
0,36.0,1.53353,0
0,37.0,1.6324,0
0,38.0,1.4948,0
0,39.0,8.546,1
0,40.0,1.62529,0
0,12.0,1.37468,0
0,13.0,1.45177,0
0,14.0,1.51258,0
0,15.0,1.51903,0
0,16.0,1.37963,0
0,17.0,1.41007,0
0,18.0,1.59354,0
0,19.0,1.49318,0
0,20.0,1.64899,0
0,21.0,1.38046,0
0,22.0,1.66865,0
0,23.0,7.403,1
0,24.0,7.801,1
0,25.0,1.72104,0
0,26.0,1.54637,0
0,27.0,1.5592,0
0,28.0,1.54877,0
0,29.0,1.49885,0
0,30.0,1.5688,0
0,31.0,1.54316,0
0,32.0,1.6126,0
0,33.0,1.67415,0
0,35.0,12.561,1
0,40.0,14.682,1
0,11.0,1.36891,0
0,12.0,1.41663,0
0,13.0,1.50694,0
0,14.0,1.49885,0
0,15.0,1.51016,0
0,16.0,1.58237,0
0,20.0,1.78372,0
0,21.0,6.753,1
0,22.0,6.88,1
0,23.0,7.256,1
0,24.0,1.80369,0
0,25.0,1.64899,0
0,26.0,1.68435,0
0,27.0,1.67651,0
0,28.0,1.71404,0
0,29.0,10.793,1
0,30.0,1.81134,0
0,31.0,11.394,1
0,32.0,11.591,1
0,33.0,12.294,1
0,34.0,12.453,1
0,35.0,13.181,1
0,36.0,13.883,1
0,17.0,1.36726,0
0,18.0,1.41827,0
0,19.0,1.43298,0
0,12.0,1.28832,0
0,15.0,1.35237,0
0,16.0,1.35983,0
0,17.0,1.57599,0
0,19.0,1.45095,0
0,20.0,1.44524,0
0,21.0,1.36726,0
0,23.0,1.52306,0
0,24.0,7.501,1
0,25.0,7.776,1
0,26.0,8.293,1
0,27.0,1.5592,0
0,28.0,1.53192,0
0,29.0,1.51339,0
0,30.0,1.54396,0
0,31.0,1.74048,0
0,32.0,12.203,1
0,33.0,12.451,1
0,34.0,13.081,1
0,35.0,13.601,1
0,36.0,13.883,1
0,37.0,13.623,1
0,38.0,15.162,1
